Iraq,Gross Domestic Product (GDP) per Capita in US$,,4777
Jordan,Gross Domestic Product (GDP) per Capita in US$,,4103
Kuwait,Gross Domestic Product (GDP) per Capita in US$,,27650
Lebanon,Gross Domestic Product (GDP) per Capita in US$,,7631
Morocco,Gross Domestic Product (GDP) per Capita in US$,,2942
Oman,Gross Domestic Product (GDP) per Capita in US$,,14619
Pakistan,Gross Domestic Product (GDP) per Capita in US$,,1363
Qatar,Gross Domestic Product (GDP) per Capita in US$,,57163
Saudi Arabia,Gross Domestic Product (GDP) per Capita in US$,,19879
Sudan,Gross Domestic Product (GDP) per Capita in US$,,2590
Tunisia,Gross Domestic Product (GDP) per Capita in US$,,3698
United Arab Emirates,Gross Domestic Product (GDP) per Capita in US$,,38142
Albania,Gross Domestic Product (GDP) per Capita in US$,,4109
Andorra,Gross Domestic Product (GDP) per Capita in US$,,37223
Armenia,Gross Domestic Product (GDP) per Capita in US$,,3592
Austria,Gross Domestic Product (GDP) per Capita in US$,,45496
Azerbaijan,Gross Domestic Product (GDP) per Capita in US$,,3889
Belarus,Gross Domestic Product (GDP) per Capita in US$,,5052
Belgium,Gross Domestic Product (GDP) per Capita in US$,,42102
Bosnia and Herzegovina,Gross Domestic Product (GDP) per Capita in US$,,4994
Bulgaria,Gross Domestic Product (GDP) per Capita in US$,,7518
Croatia,Gross Domestic Product (GDP) per Capita in US$,,12312
Cyprus,Gross Domestic Product (GDP) per Capita in US$,,24610
Czech Republic,Gross Domestic Product (GDP) per Capita in US$,,18485
Denmark,Gross Domestic Product (GDP) per Capita in US$,,54863
Estonia,Gross Domestic Product (GDP) per Capita in US$,,18448
Finland,Gross Domestic Product (GDP) per Capita in US$,,43795
France,Gross Domestic Product (GDP) per Capita in US$,,37110
Georgia,Gross Domestic Product (GDP) per Capita in US$,,3581
Germany,Gross Domestic Product (GDP) per Capita in US$,,42225
Greece,Gross Domestic Product (GDP) per Capita in US$,,18116
Hungary,Gross Domestic Product (GDP) per Capita in US$,,12971
Iceland,Gross Domestic Product (GDP) per Capita in US$,,62065
Ireland,Gross Domestic Product (GDP) per Capita in US$,,63629
Israel,Gross Domestic Product (GDP) per Capita in US$,,39333
Italy,Gross Domestic Product (GDP) per Capita in US$,,30941
Kazakhstan,Gross Domestic Product (GDP) per Capita in US$,,7699
Kyrgyzstan,Gross Domestic Product (GDP) per Capita in US$,,1122
Latvia,Gross Domestic Product (GDP) per Capita in US$,,14095
Lithuania,Gross Domestic Product (GDP) per Capita in US$,,14895
Luxembourg,Gross Domestic Product (GDP) per Capita in US$,,105393
Malta,Gross Domestic Product (GDP) per Capita in US$,,25457
Monaco,Gross Domestic Product (GDP) per Capita in US$,,169896
Netherlands,Gross Domestic Product (GDP) per Capita in US$,,46178
Norway,Gross Domestic Product (GDP) per Capita in US$,,70782
Poland,Gross Domestic Product (GDP) per Capita in US$,,12433
Portugal,Gross Domestic Product (GDP) per Capita in US$,,19961
Republic of Moldova,Gross Domestic Product (GDP) per Capita in US$,,2272
Romania,Gross Domestic Product (GDP) per Capita in US$,,9537
Russian Federation,Gross Domestic Product (GDP) per Capita in US$,,8830
San Marino,Gross Domestic Product (GDP) per Capita in US$,,43841
Serbia,Gross Domestic Product (GDP) per Capita in US$,,5742
Slovakia,Gross Domestic Product (GDP) per Capita in US$,,16531
Slovenia,Gross Domestic Product (GDP) per Capita in US$,,21646
Spain,Gross Domestic Product (GDP) per Capita in US$,,26548
Sweden,Gross Domestic Product (GDP) per Capita in US$,,52345
Switzerland,Gross Domestic Product (GDP) per Capita in US$,,80617
Tajikistan,Gross Domestic Product (GDP) per Capita in US$,,802
The Republic of North Macedonia,Gross Domestic Product (GDP) per Capita in US$,,5134
Turkey,Gross Domestic Product (GDP) per Capita in US$,,10894
Turkmenistan,Gross Domestic Product (GDP) per Capita in US$,,6390
Ukraine,Gross Domestic Product (GDP) per Capita in US$,,2088
United Kingdom,Gross Domestic Product (GDP) per Capita in US$,,41210
Uzbekistan,Gross Domestic Product (GDP) per Capita in US$,,2601
Bangladesh,Gross Domestic Product (GDP) per Capita in US$,,1496
Bhutan,Gross Domestic Product (GDP) per Capita in US$,,2841
India,Gross Domestic Product (GDP) per Capita in US$,,1726
Indonesia,Gross Domestic Product (GDP) per Capita in US$,,3563
Maldives,Gross Domestic Product (GDP) per Capita in US$,,9283
Myanmar,Gross Domestic Product (GDP) per Capita in US$,,1134
