Saint Kitts and Nevis,Gross Domestic Product (GDP) per Capita in PPP Int$,26913.71819
Saint Lucia,Gross Domestic Product (GDP) per Capita in PPP Int$,12989.92716
Saint Vincent and the Grenadines,Gross Domestic Product (GDP) per Capita in PPP Int$,11487.12064
Suriname,Gross Domestic Product (GDP) per Capita in PPP Int$,14622.05067
Trinidad and Tobago,Gross Domestic Product (GDP) per Capita in PPP Int$,30987.45506
United States,Gross Domestic Product (GDP) per Capita in PPP Int$,57938.18519
Uruguay,Gross Domestic Product (GDP) per Capita in PPP Int$,21820.27381
Venezuela (Bolivarian Republic of),Gross Domestic Product (GDP) per Capita in PPP Int$,14434.17055
Afghanistan,Gross Domestic Product (GDP) per Capita in PPP Int$,1903.174685
Bahrain,Gross Domestic Product (GDP) per Capita in PPP Int$,47215.55838
Djibouti,Gross Domestic Product (GDP) per Capita in PPP Int$,5176.855601
Egypt,Gross Domestic Product (GDP) per Capita in PPP Int$,11294.2489
Iran,Gross Domestic Product (GDP) per Capita in PPP Int$,19493.92079
Iraq,Gross Domestic Product (GDP) per Capita in PPP Int$,18085.87647
Jordan,Gross Domestic Product (GDP) per Capita in PPP Int$,9090.389182
Kuwait,Gross Domestic Product (GDP) per Capita in PPP Int$,75689.69836
Lebanon,Gross Domestic Product (GDP) per Capita in PPP Int$,12687.59035
Morocco,Gross Domestic Product (GDP) per Capita in PPP Int$,8009.397224
Oman,Gross Domestic Product (GDP) per Capita in PPP Int$,42078.88375
Pakistan,Gross Domestic Product (GDP) per Capita in PPP Int$,4975.555002
Qatar,Gross Domestic Product (GDP) per Capita in PPP Int$,123573.6304
Saudi Arabia,Gross Domestic Product (GDP) per Capita in PPP Int$,54158.32592
Sudan,Gross Domestic Product (GDP) per Capita in PPP Int$,5079.93876
Tunisia,Gross Domestic Product (GDP) per Capita in PPP Int$,11743.47793
United Arab Emirates,Gross Domestic Product (GDP) per Capita in PPP Int$,72386.08942
Albania,Gross Domestic Product (GDP) per Capita in PPP Int$,11825.67512
Andorra,Gross Domestic Product (GDP) per Capita in PPP Int$,48326.92537
Armenia,Gross Domestic Product (GDP) per Capita in PPP Int$,8808.582507
Austria,Gross Domestic Product (GDP) per Capita in PPP Int$,52897.82227
Azerbaijan,Gross Domestic Product (GDP) per Capita in PPP Int$,17455.97141
Belarus,Gross Domestic Product (GDP) per Capita in PPP Int$,18205.51246
Belgium,Gross Domestic Product (GDP) per Capita in PPP Int$,48696.2175
Bosnia and Herzegovina,Gross Domestic Product (GDP) per Capita in PPP Int$,12823.84289
Bulgaria,Gross Domestic Product (GDP) per Capita in PPP Int$,19628.12838
Croatia,Gross Domestic Product (GDP) per Capita in PPP Int$,24416.43619
Cyprus,Gross Domestic Product (GDP) per Capita in PPP Int$,34510.90222
Czech Republic,Gross Domestic Product (GDP) per Capita in PPP Int$,35272.2121
Denmark,Gross Domestic Product (GDP) per Capita in PPP Int$,52159.78315
Estonia,Gross Domestic Product (GDP) per Capita in PPP Int$,31248.48572
Finland,Gross Domestic Product (GDP) per Capita in PPP Int$,44910.21312
France,Gross Domestic Product (GDP) per Capita in PPP Int$,42975.47261
Georgia,Gross Domestic Product (GDP) per Capita in PPP Int$,9238.787463
Germany,Gross Domestic Product (GDP) per Capita in PPP Int$,49630.45184
Greece,Gross Domestic Product (GDP) per Capita in PPP Int$,27254.26481
Hungary,Gross Domestic Product (GDP) per Capita in PPP Int$,27653.2455
Iceland,Gross Domestic Product (GDP) per Capita in PPP Int$,52843.72
Ireland,Gross Domestic Product (GDP) per Capita in PPP Int$,72363.76691
Israel,Gross Domestic Product (GDP) per Capita in PPP Int$,39883.49151
Italy,Gross Domestic Product (GDP) per Capita in PPP Int$,39158.36547
Kazakhstan,Gross Domestic Product (GDP) per Capita in PPP Int$,25262.55399
Kyrgyzstan,Gross Domestic Product (GDP) per Capita in PPP Int$,3570.847943
Latvia,Gross Domestic Product (GDP) per Capita in PPP Int$,26278.16082
Lithuania,Gross Domestic Product (GDP) per Capita in PPP Int$,30120.72604
Luxembourg,Gross Domestic Product (GDP) per Capita in PPP Int$,109247.8877
Malta,Gross Domestic Product (GDP) per Capita in PPP Int$,38839.93536
Monaco,Gross Domestic Product (GDP) per Capita in PPP Int$,174478.4816
Netherlands,Gross Domestic Product (GDP) per Capita in PPP Int$,51493.3656
Norway,Gross Domestic Product (GDP) per Capita in PPP Int$,59203.11436
Poland,Gross Domestic Product (GDP) per Capita in PPP Int$,28285.84541
Portugal,Gross Domestic Product (GDP) per Capita in PPP Int$,31556.02093
